á|always, ever, forever
á-belgan|cause to swell in anger, incense, anger
á-beodan|announce, offer
á-bidan|await, (abide)
á-brecan|break into, break
á-bredwian|kill
á-bregdan|move rapidly (trans.)
á-bréotan|destroy, cut down, kill
á-búgan|bend away, turn away, deviate, start
ac|but
á-cennan|beget, bear, produce
á-cígan|call forth, summon
á-cwellan|kill, (quell)
á-cweðan|say, utter, ("aqueath")
ád|funeral pile/fire/pyre
ád-faru|path (to) funeral pyre
ádl|sickness, disease, infirmity
á-dréogan|endure, suffer, ("adree")
á-fédan|bring up, raise
á-fyllan|fill (instr., with)
á-galan|sing, chant
ágan|possess, have
á-gangan|come to pass, occur, befall
ágen|own
agend|owner
á-gifan|give (in return)
ág-laéca|demon, fiend, monster
ág-laéc-wíf|female fiend/monster/demon
á-gyldan|pay, permit, make possible, requite, ("a-yield")
áh, áhte|see ágan.
an-hár|singularly hoarry, very grey
á-hebban|raise, lift, draw, (heave up)
áh-laéca|see ág-laéca.
á-hléapan|leap up
á-hli(e)hhan|laugh
áhsian|ask, seek for
ge-áhsian|learn by inquiry/asking, hear
áht|anything
á-hyrdan|harden
á-laétan|leave, give up
aldor(-)|see ealdor(-).
á-lecgan|lay, lay down
á-léh|see á-léogan.
á-léogan|belie, fail to perform, leave unfulfilled (a promise)
Alf-walda|ruler of elves (epithet for Beowulf ?)
á-licgan|fall, fail, cease
á-limpan|befall, come (to pass)
al-walda|omnipotent (one), god
á-lýfan|allow, grant, entrust
á-lýsan|loosen, take off
an|see on.
an-|see on-.
an|see unnan.
án|one
ancor|anchor
ancor-bend|anchor-rope
and-, ond-|stressed prefix, usually indicating opposition, negation
anda|anger, indignation
and-git|understanding, discernment
and-léan, ond-léan|reward, requital
and-long|extending away in the opposition direction
an-drysno|propriety, courtesy, etiquette, respect, reverence
and-saca|enemy, adversary
and-swarian|answer
and-swaru|answer
and-weard|opposite, standing over against
and-wlita|face
án-feald|simple, plain, unmixed, modest, (one-fold)
ánga|sole, only
an-gaet|see on-gitan.
án-genga|solitary one, one who goes alone
an-gyldan|pay (a penalty) for
án-haga|solitary one, recluse
an-hár|very hoary
an-hýdig|resolute, strong-minded, stubborn, constant, ('single-minded')
á-nyman|take away
án-pæð|narrow path, one-by-one path, lonely way
an-raéd|resolute, perservering, constant
an-sund|sound, uninjured
an-sýn|appearance, form, sight
án-tíd|fixed/appropriate time, time when something is due
ánunga|entirely, by all means, certainly
an-walda|ruler, sovereign, god
ár|messenger, herald
ár|honour, worth
á-raéran|raise up, (rear up), establish, exalt
ár-fæst|honourable, virtuous
árian|show mercy, spare
á-rísan|rise, arise (lit. & fig.)
Ár-Scyldingas|see Scyldingas.
ár-stafas|support, assistance, kindness, grace, favour
á-secgan|tell, declare, speak out
á-settan|set, place, appoint, establish
á-singan|sing (to an end)
á-standan|stand up, get up
á-stígan|ascend, arise (lit. & fig.)
á-swebban|(put to sleep [lit.]), kill
atelíc|horrible, dreadful
á-téon|draw
áter-tán|('poison twig' [lit.]), poison stripe
atol|horrid, dire, terrible
attor|(animal) poison, venom
attor-sceaða|poisonous enemy/criminal
áð|oath
á-ðencan|think, intend
áð-sweorð|sworn oath, solemn oath
áþum-swéoras|son-in-law and father-in-law
áwa|always
á-wrecan|recite, tell, declare, speak out
á-wyrdan|injure, destroy
aéd(e)r|(vein), stream, (artery)
aédre|speedily, early, forthwith, directly, instantly, fully
aéfen|evening
aéfen-grom|angry/hostile/fierce/(grim) in the 'evening'
aéfen-léoht|evening-light
aéfen-ræst|evening-rest
aéfen-spraéc|evening-speech
aéfnan|perform, do
ge-æfnan|carry out
aéfre|ever, at any time (in any case)
æfter|after
æf-þunca|vexation, displeasure, chagrin
aég-hwá|every one, everything
aég-hwaér|everywhere, always
aég-hwæðer|each (of two)
aég-hwylc|each (one), every (one)
aég-laéca|see ág-laéca.
aég-weard|watch by the sea/shore
aéht|property, goods, wealth
aéht|pursuit, chase
æhtian|see eahtian.
ge-æhtle|consideration, esteem
aéled|fire
aéled-léoma|gleam of fire, torch
Ælf-here|kinsman of Wígláf
æl-mihtig|almighty (god)
æl-with|alien being, strange creature
aéne|once
aénig|any
aén-lic|only, unique, peerless, excellent, glorious, beautiful
aénne|see án.
æppel-fealu|bay, (apple-fallow)
aér|before
aér-dæg|early day, day-break
aérende|errand, message
aérest|see aér.
aér-fæder|old father, forefather
aér-gestréon|ancient treasure/wealth ("i-streon")
aér-geweorc|work of olden times, ancient work
aér-gód|good from ancient times, old and good
ærn|house, dwelling, building
aéror|see aér.
aérra|former, earlier
aér-wela|ancient wealth/treasure
aés|food, meat, carrion, carcass
æsc|(ashen) spear
Æsc-here|a counselor and warrior of the Danes, close companion of Hróðgár
æsc-holt|(ash wood, i.e.) spear
æsc-wiga|(spear) warrior
æt|at, near, in (place, circumstance, time)
aét|meal
æt-bearn|bear (to), carry (to), bear away
æt-féolan|stick to, hold firmly
æt-ferian|carry away
æt-gædere|together
æt-gifan|give
æt-graépe|grasping at, aggressive
æt-hrínan|touch
æt-hweorfan|turn, go
æt-rihte|immediately, (right away)
æt-somne|together
æt-springan|spring forth, flow out
æt-standan|stand fixed, stop
æt-steppan|step forth
ættren|poisonous, venomous
æt-wegan|carry, carry away
æt-windan|flee away, escape
æt-wítan|reproach, charge, blame [somebody] for something, censure
æþele|noble, excellent, glorious, splendid, valuable
æþeling|noble, prince, man of royal blood, chief
æþelu|not found
æðm|breath, breathing
bá|see bégen.
baldor|see bealdor.
balu|see bealu.
bám|see bégen.
bán|bone
bana|(bane), slayer, killer, murderer
bán-cofa|body, (bone-chamber)
bán-fág|adorned with bone (antlers?)
bán-fæt|body, (bone-vat)
bán-helm|bone-helmet (or -protection), i.e. shield(?)
bán-hring|vertebra, (bone ring)
bán-hús|body, (bone-house)
bán-loca|muscle, flesh
ge-bannan|bid, order
ge-barn|see ge-byrnan.
bát|boat, ship
bát-weard|boat-guard, boat-keeper
baédan|compel, urge on
baél|fire, flame
baél-fýr|funeral fire
baél-stede|place of the pyre
baél-wudu|wood for the funeral pyre
baér|bier
(ge-)baétan|bridle, bit, (saddle?)
bæð|bath
(ge-)béacnian|point out, shew
beado|war, battle, fighting, strife
beado-gríma|war-mask, war-helmet
beado-hrægl|war-garment, coat of mail(?)
beado-léoma|battle-light, i.e. (flashing) sword
beado-méce|war-sword, battle-sword
beado-rinc|warrior, battle-man
beadu-folm|battle-hand
beadu-lác|war-sport, battle-play
beadu-róf|bold in battle
beadu-rún|battle-rune
beadu-scearp|battle-sharp
beadu-scrúd|(battle-shroud), war-garment
beadu-serce|(battle-sark), coat of mail
béag|(precious) ring, circlet
béag-gyfa|ring-giver
béag-hroden|ring-adorned
béah|see béag, búgan.
béah-hord|ring-hoard, treasure
béah-sele|ring-hall, hall (in which rings are given)
béah-ðegu|receiving of a ring
béah-wriða|ring-band, ring, circlet
bealdian|show oneself brave/bold, bear oneself's bravely
bealdor|prince, lord
bealo, bealu|baleful, evil, pernicious
bealo-cwealm|baleful death
bealo-hycgende|intending evil, hostile
bealo-hýdig|intending evil, hostile
bealo-níð|baleful enmity, wickedness
Béan-stán|father of Breca
bearhtm|brightness
bearm|bosom, lap
be-arn|see be-irnan.
bearn|child, son
bearn-gebyrdo|child-bearing
bearu|grove, wood
béatan|beat, strike, pound
be-béodan|command, order, bid
be-beorgan||protect/guard oneself
be-búgan|encompass, surround
be-bycgan|sell
be-ceorfan|cut off (deprive by cutting)
bécn|see béacen.
be-cuman|come
bed(d)|bed
ge-bedda|bed-fellow
be-daélan|deprive
be-fæstan|entrust, commit, give over
be-feallan|fall
be-fléon|flee from, escape
be-fón|seize, encompass, encircle, envelop
be-foran|before
bég|see béag.
be-gang|see be-gong.
bégen|both
be-géotan|pour over, anoint, infuse, flood (with), sprinkle
be-gitan|get, obtain
be-gnornian|lament, bemoan, mourn for
be-gong|circuit, compass, expanse, region
be-gylpan|boast, exult
be-healdan|guard, hold, occupy
be-helan|hide
be-hófian|have need of, require
be-hón|hang (round/about with)
be-hréosan|fall
be-irnan|run (into)
bél|see baél. be-léan|(blame)
be-léosan|lose
(ge-)belgan|enrage
be-limpan|happen, befall
be-lúcan|lock up, close
be-murnan|mourn over, bewail, deplore
ben|wound
bén|petition, request
béna|petitioner, petitioning
benc|bench
benc-swég|bench-noise, convivial noise, sound of rejoicing (in the hall)
benc-þel|bench-plank
bend|bond, fetter
be-nemnan|declare, stipulate
be-néotan|deprive of
ben-geat|wound-opening, (wound-gate), gash
be-niman|rob, deprive of
béodan|offer, tender, give
ge-béodan|offer, show
béod-genéat|table-companion
béon, béo(ð)|see eom.
beor|beer, strong drink
