1 Hwæt! Wé Gárdena     in géardagum
2 þéodcyninga     þrym gefrúnon·
3 hú ðá æþelingas     ellen fremedon.
4 Oft Scyld Scéfing     sceaþena þréatum
5 monegum maégþum     meodosetla oftéah·
6 egsode Eorle     syððan aérest wearð
7 féasceaft funden     hé þæs frófre gebád·
8 wéox under wolcnum·     weorðmyndum þáh
9 oð_þæt him aéghwylc     þára ymbsittendra
10 ofer hronráde     hýran scolde,
11 gomban gyldan·     þæt wæs gód cyning.
12 Ðaém eafera wæs     æfter cenned
13 geong in geardum     þone god sende
14 folce tó frófre·     fyrenðearfe ongeat·
15 þæt híe aér drugon     aldorléase
16 lange hwíle·     him þæs líffréä
17 wuldres wealdend     woroldáre forgeaf:
18 Béowulf wæs bréme     —blaéd wíde sprang—
19 Scyldes eafera     Scedelandum in.
20 Swá sceal geong guma     góde gewyrcean
21 fromum feohgiftum     on fæder bearme
22 þæt hine on ylde     eft gewunigen
23 wilgesíþas     þonne wíg cume·
24 léode gelaésten:     lofdaédum sceal
25 in maégþa gehwaére     man geþéön.
26 Him ðá Scyld gewát     tó gescæphwíle
27 felahrór féran     on fréan waére·
28 hí hyne þá ætbaéron     tó brimes faroðe
29 swaése gesíþas     swá hé selfa bæd
30 þenden wordum wéold     wine Scyldinga
31 léof landfruma     lange áhte·
32 þaér æt hýðe stód     hringedstefna
33 ísig ond útfús     æþelinges fær·
34 álédon þá     léofne þéoden
35 béaga bryttan     on bearm scipes
36 maérne be mæste·     þaér wæs mádma fela
37 of feorwegum     frætwa gelaéded·
38 ne hýrde ic cýmlícor     céol gegyrwan
39 hildewaépnum     ond heaðowaédum
40 billum ond byrnum·     him on bearme læg
41 mádma mænigo     þá him mid scoldon
42 on flódes aéht     feor gewítan·
43 nalæs hí hine laéssan     lácum téodan
44 þéodgestréonum     þonne þá dydon
45 þe hine æt frumsceafte     forð onsendon
46 aénne ofer ýðe     umborwesende·
47 þá gýt híe him ásetton     segen gyldenne
48 héah ofer héafod·     léton holm beran·
49 géafon on gársecg·     him wæs geómor sefa
50 murnende mód·     men ne cunnon
51 secgan tó sóðe     seleraédenne
52 hæleð under heofenum     hwá þaém hlæste onféng.
53 Ðá wæs on burgum     Béowulf Scyldinga
54 léof léodcyning     longe þráge
55 folcum gefraége     —fæder ellor hwearf
56 aldor of earde—     oþ_þæt him eft onwóc
57 héah Healfdene     héold þenden lifde
58 gamol ond gúðréouw     glæde Scyldingas·
59 ðaém féower bearn     forðgerímed
60 in worold wócun     weoroda raéswan:
61 Heorogár ond Hróðgár     ond Hálga til·
62 hýrde ic þæt Ýrse     wæs Onelan cwén
63 Heaðo-Scilfingas     healsgebedda.
64 Þá wæs Hróðgáre     herespéd gyfen
65 wíges weorðmynd     þæt him his winemágas
66 georne hýrdon     oðð þæt séo geogoð gewéox
67 magodriht micel·     him on mód bearn
68 þæt healreced     hátan wolde
69 medoærn micel     men gewyrcean
70 þone yldo bearn     aéfre gefrúnon
71 ond þaér on innan     eall gedaélan
72 geongum ond ealdum     swylc him god sealde
73 búton folcscare     ond feorum gumena·
74 ða ic wíde gefrægn     weorc gebannan
75 manigre maégþe     geond þisne middangeard·
76 folcstede frætwan.     Him on fyrste gelomp
77 aédre mid yldum     þæt hit wearð ealgearo
78 healærna maést·     scóp him Heort naman
79 sé þe his wordes geweald     wíde hæfde·
80 hé béot ne áléh·     béagas daélde
81 sinc æt symle.     Sele hlífade
82 héah ond horngéap·     heaðowylma bád
83 láðan líges·     ne wæs hit lenge þá gén
84 þæt se ecghete     áþumswéoran
85 æfter wælníðe     wæcnan scolde.
86 Ðá se ellengaést     earfoðlíce
87 þráge geþolode     sé þe in þýstrum bád
88 þæt hé dógora gehwám     dréam gehýrde
89 hlúdne in healle·     þaér wæs hearpan swég
90 swutol sang scopes·     sægde sé þe cúþe
91 frumsceaft fíra     feorran reccan·
92 cwæð þæt se ælmihtiga     eorðan worhte
93 wlitebeorhtne wang     swá wæter bebúgeð·
94 gesette sigehréþig     sunnan ond mónan
95 léoman tó léohte     land-búendum
96 ond gefrætwade     foldan scéatas
97 leomum ond léafum·     líf éac gesceóp
98 cynna gehwylcum     þára ðe cwice hwyrfaþ·
99 Swá ðá drihtguman     dréamum lifdon
100 éadiglice     oð_ðæt án ongan
101 fyrene fremman     féond on helle·
102 wæs se grimma gaést     Grendel háten
103 maére mearcstapa     sé þe móras héold
104 fen ond fæsten·     fífelcynnes eard
105 wonsaélí wer     weardode hwíle
106 siþðan him scyppend     forscrifen hæfde
107 in Caines cynne     þone cwealm gewræc
108 éce drihten     þæs þe hé Ábel slóg·
109 ne gefeah hé þaére faéhðe     ac hé hine feor forwræc
110 metod for þý máne     mancynne fram·
111 þanon untýdras     ealle onwócon
112 eotenas ond ylfe     ond orcnéäs
113 swylce gígantas     þá wið gode wunnon
114 lange þráge·     hé him ðæs léan forgeald.
115 Gewát ðá néosian     syþðan niht becóm
116 héän húses·     hú hit Hring-Dene
117 æfter béorþege     gebún hæfdon·
118 fand þá ðaér inne     æþelinga gedriht
119 swefan æfter symble·     sorge ne cúðon
120 wonsceaft wera·     wiht unhaélo
121 grim ond graédig     gearo sóna wæs
122 réoc ond réþe     ond on ræste genam
123 þrítig þegna·     þanon eft gewát
124 húðe hrémig     tó hám faran
125 mid þaére wælfylle     wíca néosan.
126 Ðá wæs on úhtan     mid aérdæge
127 Grendles gúðcræft     gumum undyrne·
128 þá wæs æfter wiste     wóp up áhafen
129 micel morgenswég.     Maére þéoden
130 æþeling aérgod     unblíðe sæt·
131 þolode ðrýðswýð     þegnsorge dréah
132 syðþan híe þæs láðan     lást scéawedon,
133 wergan gástes·     wæs þæt gewin tó strang
134 láð ond longsum.     Næs hit lengra fyrst
135 ac ymb áne niht     eft gefremede
136 morðbeala máre     ond nó mearn fore,
137 faéhðe ond fyrene·     wæs tó fæst on þám.
