line,OE,ME
0,,
1,Hwæt!   Wé Gárdena      in géardagum,"Listen!  We  of the Spear-Danes      in the days of yore,"
2,þéodcyninga      þrym gefrúnon·,of those clan-kings        heard of their glory.
3,hú ðá æþelingas      ellen fremedon.,how those nobles      performed courageous deeds.
4,Oft Scyld Scéfing      sceaþena þréatum,"Often Scyld, Scef's son,      from enemy hosts"
5,monegum maégþum      meodosetla oftéah·,from many peoples      seized mead-benches;
6,egsode Eorle      syððan aérest wearð,and terrorised the fearsome Heruli      after first he was
7,féasceaft funden      hé þæs frófre gebád·,"found helpless and destitute,      he then knew recompense for that:-"
8,wéox under wolcnum·      weorðmyndum þáh,"he waxed under the clouds,      throve in honours,"
9,oð þæt him aéghwylc      þára ymbsittendra,until to him each      of the bordering tribes
10,"ofer hronráde      hýran scolde,","beyond the whale-road      had to submit,"
11,gomban gyldan·      þæt wæs gód cyning.,and yield tribute:-       that was a good king!
12,Ðaém eafera wæs      æfter cenned, To him an heir was      born then
13,geong in geardum      þone god sende,"young in the yards,      God sent him"
14,folce tó frófre·      fyrenðearfe ongeat·,to comfort the people;      He had seen the dire distress
15,þæt híe aér drugon      aldorléase,"that they suffered before,      leader-less"
16,lange hwíle·      him þæs líffréä,"a long while;      them for that the Life-Lord,"
17,wuldres wealdend      woroldáre forgeaf:,"Ruler of Glory,      granted honour on earth:"
18,Béowulf wæs bréme       blaéd wíde sprang ,Beowulf (Beaw) was famed       his renown spread wide 
19,Scyldes eafera      Scedelandum in.,"Scyld's heir,      in Northern lands."
20,Swá sceal geong guma      góde gewyrcean,"So ought a young man      by good deeds deserve,"
21,fromum feohgiftum      on fæder bearme,"(and) by fine treasure-gifts,      while in his father's keeping,"
22,þæt hine on ylde      eft gewunigen,"that him in old age      shall again stand by,"
23,wilgesíþas      þonne wíg cume·,"willing companions,       when war comes,"
24,léode gelaésten:      lofdaédum sceal,"people serve him:      by glorious deeds must,"
25,in maégþa gehwaére      man geþéön.,"amongst his people, everywhere,      one prosper."
26,Him ðá Scyld gewát      tó gescæphwíle,"Then Scyld departed      at the destined time,"
27,felahrór féran      on fréan waére·,"still in his full-strength, to fare      in the protection of the Lord Frea;"
28,hí hyne þá ætbaéron      tó brimes faroðe,"he they carried      to the sea's surf,"
29,swaése gesíþas      swá hé selfa bæd,"his dear comrades,      as he himself had bid,"
30,þenden wordum wéold      wine Scyldinga,"when he yet wielded words,      that friend of the Scyldings,"
31,léof landfruma      lange áhte·,"beloved ruler of the land,      had ruled for a long time;"
32,þaér æt hýðe stód      hringedstefna,"there at the harbour stood      with a ringed-prow,"
33,ísig ond útfús      æþelinges fær·,"icy and keen to sail,       a hero's vessel;"
34,álédon þá      léofne þéoden,"they then laid down       the beloved prince,"
35,béaga bryttan      on bearm scipes,"the giver of rings and treasure,      in the bosom of the boat,"
36,maérne be mæste·      þaér wæs mádma fela,"the mighty by the mast;       many riches were there,"
37,of feorwegum      frætwa gelaéded·,from far-off lands       ornate armour and baubles were brought;
38,ne hýrde ic cýmlícor      céol gegyrwan,I have not heard of a comelier      keel adorned
39,hildewaépnum      ond heaðowaédum,"with weapons of battle      and war-dress,"
40,billum ond byrnum·      him on bearme læg,bill-blades and byrnies;      there lay on his breast
41,mádma mænigo      þá him mid scoldon,"many treasures,      which with him must,"
42,on flódes aéht      feor gewítan·,"in the power of the waves,      drift far off;"
43,nalæs hí hine laéssan      lácum téodan,in no way had they upon him fewer      gifts bestowed
44,þéodgestréonum      þonne þá dydon,"with the wealth of a nation,      than those did"
45,þe hine æt frumsceafte      forð onsendon,who him in the beginning       had sent forth
46,aénne ofer ýðe      umborwesende·,alone upon the waves      being but a child;
47,þá gýt híe him ásetton      segen gyldenne,"yet then they set up      the standard of gold,"
48,héah ofer héafod·      léton holm beran·,"high over head;      they let the sea bear,"
49,géafon on gársecg·      him wæs geómor sefa,"gave to the ocean,      in them were troubled hearts,"
50,murnende mód·      men ne cunnon,mourning minds;      men cannot
51,secgan tó sóðe      seleraédenne,"say for certain,      (neither) court-counsellors"
52,hæleð under heofenum      hwá þaém hlæste onféng.,"(nor) heroes under heaven,      who received that cargo."
53,Ðá wæs on burgum             Béowulf Scyldinga,"Then was in boroughs,             Beowulf the Scylding (Beaw),"
54,léof léodcyning             longe þráge,beloved king of the people             a long age
55,folcum gefraége              fæder ellor hwearf,"famed among the folk              his father having gone elsewhere,"
56,aldor of earde              oþ þæt him eft onwóc,elder on earth              until unto him in turn was born
57,héah Healfdene             héold þenden lifde,"high Half-Dane,      he ruled so long as        he lived"
58,gamol ond gúðréouw             glæde Scyldingas·,"old and battle-fierce,             the glad Scyldings;"
59,ðaém féower bearn             forðgerímed,to him four sons             in succession
60,in worold wócun             weoroda raéswan:,"woke in the world,             the leader of the legions:"
61,Heorogár ond Hróðgár             ond Hálga til·,Heorogar and Hrothgar      and good        Halga;
62,hýrde ic þæt Ýrse             wæs Onelan cwén,"I heard that Yrse      was Onela's queen,"
63,Heaðo-Scilfingas             healsgebedda.,the War-Scylfing's             belovèd embraced in bed.
64,Þá wæs Hróðgáre             herespéd gyfen,"Then was to Hrothgar             success in warcraft given,"
65,wíges weorðmynd             þæt him his winemágas,"honour in war,             so that his retainers"
66,georne hýrdon             oðð þæt séo geogoð gewéox,eagerly served him             until the young war-band grew
67,magodriht micel·             him on mód bearn,into a mighty battalion;             it came into his mind
68,þæt healreced             hátan wolde,"that a hall-house,             he wished to command,"
69,medoærn micel             men gewyrcean,"a grand mead-hall,             be built by men"
70,þone yldo bearn             aéfre gefrúnon,"which the sons of men             should hear of forever,"
71,ond þaér on innan             eall gedaélan,and there within             share out all
72,geongum ond ealdum             swylc him god sealde,"to young and old,             such as God gave him,"
73,búton folcscare             ond feorum gumena·,except the common land             and the lives of men;
74,ða ic wíde gefrægn             weorc gebannan,"Then, I heard, widely             was the work commissioned"
75,manigre maégþe             geond þisne middangeard·,"from many peoples             throughout this middle-earth,"
76,folcstede frætwan.             Him on fyrste gelomp,"to furnish this hall of the        folk.      For him in time it came to        pass,"
77,aédre mid yldum             þæt hit wearð ealgearo,"early, through the men,             that it was fully finished,"
78,healærna maést·             scóp him Heort naman,"the best of royal halls;             he named it Heorot,"
79,sé þe his wordes geweald             wíde hæfde·,he whose words weight             had everywhere;
80,hé béot ne áléh·             béagas daélde,"he did not lie when he boasted;             rings he dealt out,"
81,sinc æt symle.             Sele hlífade,"riches at his feasts.             The hall towered,"
82,héah ond horngéap·             heaðowylma bád,high and horn-gabled;             it awaited the cruel surges
83,láðan líges·             ne wæs hit lenge þá gén,of hateful flames;             nor was the time yet nigh
